X,Y,OBJECTID,DATE_,SITE,PROBE,TEMP_C,CONDUCTIVI,SP_CONDUCT,SALINITY,DISS_OXYGE,COMMENTS,UTM_E,UTM_N
-12908343.5215,3941190.3219,280,2005/07/15 00:00:00+00,The Dome,4.0,31.1,63.9,57.3,46.4,0.0, ,596997,3690022
-12898906.8272,3931692.0641,281,2005/07/15 00:00:00+00,South Salton City,4.0,30.7,64.2,57.7,46.9,0.9, ,604971,3682198
-12886715.1589,3942739.9842,282,2005/07/21 00:00:00+00,The Cliffs,4.0,32.7,64.8,56.6,45.6,8.5, ,615062,3691509
-12870894.0266,3935316.5046,283,2005/07/21 00:00:00+00,North Wister,4.0,33.1,62.3,53.8,42.2,12.0, ,628368,3685497
-12886715.1589,3942739.9842,284,2005/07/22 00:00:00+00,The Cliffs,4.0,33.5,65.9,56.8,45.8,11.5, ,615062,3691509
-12870894.0266,3935316.5046,285,2005/07/22 00:00:00+00,North Wister,4.0,32.7,63.9,55.8,44.6,6.8, ,628368,3685497
-12918978.9415,3962128.9618,286,2005/07/26 00:00:00+00,Whitewater River,4.0,33.9,68.0,58.1,47.4,N/A, ,587948,3707343
-12917367.5293,3952583.1879,287,2005/07/26 00:00:00+00,North Desert Shores,4.0,32.5,66.0,57.8,47.1,N/A, ,589366,3699424
-12918978.9415,3962128.9618,288,2005/07/27 00:00:00+00,Whitewater River,4.0,33.3,66.6,57.5,46.7,N/A, ,587948,3707343
-12917367.5293,3952583.1879,289,2005/07/27 00:00:00+00,North Desert Shores,4.0,32.2,65.3,57.4,46.6,N/A, ,589366,3699424
-12894448.6437,3919637.7002,290,2005/08/01 00:00:00+00,Test Base,4.0,34.5,68.0,57.5,46.7,N/A, ,608813,3672196
-12879300.2081,3913176.1348,291,2005/08/01 00:00:00+00,New River,4.0,33.4,66.2,56.9,45.9,N/A, ,621567,3666958
-12894448.6437,3919637.7002,292,2005/08/02 00:00:00+00,Test Base,4.0,34.3,67.4,57.2,46.3,N/A, ,608813,3672196
-12879300.2081,3913176.1348,293,2005/08/02 00:00:00+00,New River,4.0,32.1,65.2,57.4,46.6,N/A, ,621567,3666958
-12870915.7261,3923476.2963,294,2005/08/04 00:00:00+00,Alamo River,4.0,32.3,64.6,56.7,45.7,N/A, ,628480,3675635
-12870915.7261,3923476.2963,295,2005/08/05 00:00:00+00,Alamo River,4.0,33.2,65.9,57.0,46.1,N/A, ,628480,3675635
-12906353.2527,3964286.9348,296,2005/08/10 00:00:00+00,North Shore,4.0,32.6,65.7,57.5,46.7,N/A, ,598465,3709237
-12895737.4548,3952891.3244,297,2005/08/10 00:00:00+00,Bat Caves,4.0,32.5,65.5,57.3,46.4,N/A, ,607427,3699864
-12906353.2527,3964286.9348,298,2005/08/11 00:00:00+00,North Shore,4.0,33.4,67.3,57.9,47.2,N/A, ,598465,3709237
-12895737.4548,3952891.3244,299,2005/08/11 00:00:00+00,Bat Caves,4.0,32.3,65.6,57.6,46.8,N/A, ,607427,3699864
-12898906.8272,3931692.0641,300,2005/10/11 00:00:00+00,South Salton City,4.0,24.7,54.9,55.5,44.2,7.8, ,604971,3682198
-12908343.5215,3941190.3219,301,2005/10/12 00:00:00+00,The Dome,4.0,24.2,57.5,58.5,48.0,5.7, ,596997,3690022
-12898906.8272,3931692.0641,302,2005/10/12 00:00:00+00,South Salton City,4.0,24.4,58.9,59.5,49.3,8.1, ,604971,3682198
-12917367.5293,3952583.1879,303,2005/10/13 00:00:00+00,North Desert Shores,4.0,25.5,59.8,59.1,48.7,9.6, ,589366,3699424
-12908343.5215,3941190.3219,304,2005/10/13 00:00:00+00,The Dome,4.0,24.6,59.6,60.1,50.1,10.3, ,596997,3690022
-12917367.5293,3952583.1879,305,2005/10/14 00:00:00+00,North Desert Shores,4.0,24.6,58.3,59.0,48.6,10.2, ,589366,3699424
-12918978.9415,3962128.9618,306,2005/10/19 00:00:00+00,Whitewater River,4.0,23.8,57.4,58.8,48.3,0.3, ,587948,3707343
-12918978.9415,3962128.9618,307,2005/10/20 00:00:00+00,Whitewater River,4.0,23.4,56.8,58.6,48.1,0.3, ,587948,3707343
-12906353.2527,3964286.9348,308,2005/10/20 00:00:00+00,North Shore,4.0,24.3,57.7,58.7,48.2,2.4, ,598465,3709237
-12906353.2527,3964286.9348,309,2005/10/21 00:00:00+00,North Shore,4.0,24.5,57.5,58.0,47.3,3.3, ,598465,3709237
-12886715.1589,3942739.9842,310,2005/10/26 00:00:00+00,The Cliffs,4.0,23.0,55.6,57.9,47.2,6.2, ,615062,3691509
-12870894.0266,3935316.5046,311,2005/10/26 00:00:00+00,North Wister,4.0,22.9,56.5,58.9,48.5,8.4, ,628368,3685497
-12886715.1589,3942739.9842,312,2005/10/27 00:00:00+00,The Cliffs,4.0,23.1,56.5,58.6,48.1,8.3, ,615062,3691509
-12870894.0266,3935316.5046,313,2005/10/27 00:00:00+00,North Wister,4.0,22.9,54.8,57.3,46.4,8.4, ,628368,3685497
-12879300.2081,3913176.1348,314,2005/11/01 00:00:00+00,New River,4.0,23.2,57.0,59.1,48.7,0.2, ,621567,3666958
-12870915.7261,3923476.2963,315,2005/11/01 00:00:00+00,Alamo River,4.0,23.2,56.0,58.2,47.6,2.0, ,628480,3675635
-12879300.2081,3913176.1348,316,2005/11/02 00:00:00+00,New River,4.0,22.9,56.5,58.8,48.3,9.8, ,621567,3666958
-12870915.7261,3923476.2963,317,2005/11/02 00:00:00+00,Alamo River,4.0,23.2,57.0,59.0,48.6,2.3, ,628480,3675635
-12895737.4548,3952891.3244,318,2005/11/03 00:00:00+00,Bat Caves,4.0,22.7,55.7,58.5,48.0,9.7, ,607427,3699864
-12895737.4548,3952891.3244,319,2005/11/04 00:00:00+00,Bat Caves,4.0,22.5,55.6,58.3,47.7,6.0, ,607427,3699864
-12894448.6437,3919637.7002,320,2005/11/07 00:00:00+00,Test Base,4.0,22.1,55.6,58.9,48.5,0.6, ,608813,3672196
-12894448.6437,3919637.7002,321,2005/11/08 00:00:00+00,Test Base,4.0,22.4,55.8,58.9,48.5,0.5, ,608813,3672196
-12906353.2527,3964286.9348,322,2006/01/05 00:00:00+00,North Shore,4.0,15.7,46.0,55.5,44.2,3.7, ,598465,3709237
-12918978.9415,3962128.9618,323,2006/01/05 00:00:00+00,Whitewater River,4.0,15.8,44.8,54.7,43.3,4.1, ,587948,3707343
-12906353.2527,3964286.9348,324,2006/01/06 00:00:00+00,North Shore,4.0,15.7,46.3,56.5,45.4,3.4, ,598465,3709237
